MSOA code,low,mid,high
E02002585,131250 ,162500 ,186750 
E02002586,79379 ,123500 ,165875 
E02002587,91250 ,105000 ,136000 
E02002588,110750 ,117500 ,132500 
E02002589,165000 ,216500 ,274500 
E02002590,299213 ,375000 ,485000 
E02002591,287000 ,312500 ,400000 
E02002592,248750 ,360000 ,426250 
E02002593,177375 ,240000 ,299988 
E02002594,204125 ,258975 ,266250 
E02002595,190000 ,216666 ,331500 
E02002596,197475 ,237500 ,258477 
E02002597,117000 ,185000 ,235000 
E02002598,277500 ,292000 ,325000 
E02002599,245000 ,285000 ,330000 
E02002600,126400 ,135000 ,161000 
E02002601,170000 ,199750 ,262500 
E02002602,140000 ,163000 ,192500 
E02002603,204500 ,230000 ,295500 
E02002604,195000 ,282500 ,302500 
E02002605,182625 ,212475 ,283750 
E02002606,170000 ,195000 ,221000 
E02002607,207500 ,224000 ,241100 
E02002608,172500 ,219950 ,282500 
E02002609,124000 ,180000 ,187000 
E02002610,327750 ,450000 ,603750 
E02002611,269750 ,340000 ,420000 
E02002612,308000 ,385000 ,494250 
E02002613,351250 ,390000 ,478750 
E02002614,390000 ,495000 ,600000 
E02003965,151250 ,199000 ,235000 
E02003966,194500 ,248750 ,353750 
E02003967,157749 ,192375 ,253713 
E02003968,141238 ,159500 ,208125 
E02003969,91750 ,126250 ,148500 
E02003970,258000 ,345000 ,385000 
E02003971,250000 ,277500 ,356875 
E02003972,149500 ,188000 ,247250 
E02003973,97750 ,116500 ,122500 
E02003974,177875 ,205250 ,217963 
E02003975,163200 ,210000 ,253000 
E02003976,325000 ,425000 ,545000 
E02003977,159750 ,237500 ,278875 
E02003978,206250 ,225000 ,255000 
E02003979,214000 ,265000 ,342500 
E02003980,78375 ,113500 ,142375 
E02003981,138000 ,186000 ,250000 
E02003982,201125 ,236000 ,297500 
E02003983,103000 ,120000 ,125000 
E02003984,71250 ,83250 ,99938 
E02003985,132500 ,159000 ,184250 
E02003986,121375 ,192500 ,232750 
E02003987,268713 ,325000 ,393750 
E02003988,191000 ,262500 ,333000 
E02003989,175000 ,215000 ,240000 
E02003990,190750 ,237500 ,297750 
E02003991,160000 ,219000 ,260000 
E02003992,124500 ,150250 ,196250 
E02003993,234375 ,275000 ,382500 
E02003994,156673 ,198000 ,217000 
E02003995,150000 ,183500 ,216250 
E02003996,103000 ,132500 ,155000 
E02003997,168375 ,179250 ,200625 
E02003998,122500 ,146500 ,159750 
E02003999,180000 ,230000 ,293750 
E02004000,210588 ,237500 ,258750 
E02004001,170000 ,205000 ,223750 
E02004002,194750 ,217500 ,250000 
E02004003,139500 ,228750 ,274250 
E02004004,99950 ,120000 ,198000 
E02004005,142975 ,167000 ,241500 
E02004006,165250 ,204000 ,301250 
E02004007,140500 ,185000 ,273500 
E02004008,228750 ,270000 ,340000 
E02004009,253213 ,295000 ,372500 
E02004010,178000 ,203000 ,245000 
E02004011,225625 ,290000 ,373750 
E02004012,294500 ,412500 ,514375 
E02004013,195000 ,272500 ,335000 
E02004014,174000 ,260000 ,340000 
E02004015,374500 ,485000 ,670000 
E02004016,325000 ,440000 ,587500 
E02004017,250000 ,292500 ,380000 
E02004018,264750 ,353475 ,458750 
E02004019,290000 ,365000 ,445000 
E02004020,240000 ,305000 ,340000 
E02004021,361250 ,461000 ,659250 
E02004022,258750 ,312250 ,347500 
E02004023,313250 ,357500 ,402500 
E02004024,313250 ,356250 ,420000 
E02004025,223125 ,320000 ,471250 
E02004026,199950 ,261500 ,313000 
E02004027,270000 ,339950 ,444912 
E02004028,260500 ,321000 ,363750 
E02000984,246500 ,282500 ,325000 
E02000985,256225 ,300000 ,358250 
E02000986,197500 ,225000 ,296250 
E02000987,180000 ,252000 ,312250 
E02000988,168750 ,240500 ,267500 
E02000989,191375 ,232500 ,283750 
E02000990,210250 ,267500 ,293750 
E02000991,161250 ,213500 ,289500 
E02000992,185250 ,220000 ,285500 
E02000993,119000 ,208000 ,215000 
E02000994,113000 ,125000 ,125000 
E02000995,259500 ,335800 ,417000 
E02000996,161000 ,175000 ,187000 
E02000997,227500 ,278000 ,400000 
E02000998,100000 ,125000 ,148000 
E02000999,98500 ,119000 ,139500 
E02001000,100000 ,149950 ,180000 
E02001001,202500 ,252500 ,436425 
E02001002,166000 ,180100 ,215000 
E02001003,297750 ,405000 ,580000 
E02001004,111250 ,137500 ,177500 
E02001005,85000 ,110000 ,159950 
E02001006,108000 ,111000 ,147000 
E02001007,157250 ,171750 ,213000 
E02001008,105000 ,121000 ,139250 
E02001009,124000 ,130000 ,225000 
E02001010,85000 ,100000 ,131500 
E02001011,230000 ,270000 ,300000 
E02001012,150500 ,170000 ,217500 
