MSOA code,low,mid,high
E02004297,72250 ,100000 ,115625 
E02004290,66125 ,92475 ,110500 
E02004298,64500 ,100000 ,128500 
E02004299,54250 ,63175 ,76250 
E02004291,45000 ,69950 ,90500 
E02004300,43000 ,73500 ,105000 
E02004292,76500 ,90000 ,145500 
E02004301,53125 ,59250 ,80000 
E02004302,30000 ,37500 ,49500 
E02004303,57500 ,72500 ,83000 
E02004293,50000 ,66500 ,67000 
E02004304,51563 ,78500 ,95500 
E02004294,80000 ,97000 ,140000 
E02004305,67450 ,81000 ,84000 
E02004295,64000 ,73000 ,85165 
E02004320,112500 ,130000 ,140000 
E02004321,63500 ,76500 ,97250 
E02004322,67738 ,77750 ,83750 
E02004296,66750 ,78000 ,91250 
E02004306,74750 ,110000 ,130000 
E02004323,41500 ,48000 ,70000 
E02004308,99000 ,138500 ,168000 
E02004309,86725 ,90000 ,102000 
E02004307,58963 ,69500 ,79750 
E02004324,24750 ,32975 ,38475 
E02004310,54500 ,83090 ,89750 
E02004311,66500 ,75000 ,95250 
E02004312,100000 ,130000 ,153500 
E02004313,102625 ,107500 ,139000 
E02004314,117000 ,147000 ,225000 
E02004316,42250 ,54500 ,71238 
E02004325,42500 ,49000 ,51750 
E02004315,76000 ,135000 ,160000 
E02004326,39500 ,41000 ,64950 
E02004328,44000 ,60000 ,74875 
E02004327,21700 ,28998 ,48000 
E02004329,80000 ,125000 ,135000 
E02004317,57500 ,63000 ,69250 
E02004330,45750 ,62000 ,80000 
E02004331,30500 ,40000 ,62000 
E02004318,72000 ,139250 ,168750 
E02004348,76250 ,85500 ,110625 
E02004332,40000 ,61100 ,117963 
E02004319,60000 ,80000 ,102000 
E02004349,39999 ,48500 ,58000 
E02004350,48000 ,65000 ,78000 
E02004333,65000 ,72975 ,79625 
E02004334,60500 ,71000 ,79000 
E02004335,28600 ,41000 ,60000 
E02004336,33500 ,51250 ,76900 
E02004351,38998 ,39995 ,45750 
E02004337,35000 ,44000 ,59750 
E02004338,25000 ,32000 ,46000 
E02004339,84250 ,101000 ,135000 
E02004352,37000 ,44100 ,74500 
E02004353,46000 ,60000 ,93500 
E02004354,52000 ,65000 ,86225 
E02004355,39973 ,56000 ,66500 
E02004340,35000 ,40000 ,52625 
E02004341,82000 ,90000 ,125000 
E02004342,68500 ,80000 ,84250 
E02004343,72500 ,80975 ,83963 
E02004344,97625 ,130000 ,135750 
E02004345,53000 ,84000 ,127000 
E02004346,90000 ,116000 ,134000 
E02004347,106250 ,118000 ,142500 
E02002559,108750 ,140000 ,195000 
E02002560,59500 ,79000 ,100000 
E02002561,79500 ,140250 ,146875 
E02002562,50000 ,77000 ,84000 
E02002563,106500 ,128000 ,139000 
E02002564,97500 ,120000 ,123000 
E02002565,54125 ,63000 ,68100 
E02002566,46500 ,62500 ,116000 
E02002567,71750 ,74995 ,112500 
E02002568,102813 ,110000 ,167500 
E02002569,138000 ,154750 ,173750 
E02002570,52250 ,60000 ,66000 
E02002571,77250 ,81500 ,94750 
E02002572,81750 ,85000 ,94000 
E02002573,106500 ,143000 ,156500 
E02002483,70000 ,94250 ,121875 
E02002484,43875 ,61250 ,80250 
E02002485,94316 ,101500 ,106000 
E02002487,25750 ,37000 ,85250 
E02002488,37500 ,42000 ,73000 
E02002489,37500 ,39995 ,46000 
