MSOA code,low,mid,high
E02004297,93000 ,115000 ,150000 
E02004290,134000 ,157500 ,169000 
E02004298,95000 ,135000 ,191500 
E02004299,71750 ,100000 ,125000 
E02004291,69750 ,107475 ,131500 
E02004300,59999 ,67500 ,103750 
E02004292,132475 ,158000 ,195000 
E02004301,67625 ,84975 ,109000 
E02004302,45500 ,67500 ,92000 
E02004303,84250 ,96500 ,127750 
E02004293,81250 ,97250 ,116625 
E02004304,66000 ,79000 ,117500 
E02004294,151750 ,178000 ,210125 
E02004305,55625 ,101000 ,133750 
E02004295,103750 ,121250 ,157625 
E02004320,110000 ,143000 ,157000 
E02004321,72000 ,90000 ,120000 
E02004322,60625 ,79975 ,129625 
E02004296,80875 ,115000 ,126250 
E02004306,105500 ,135000 ,195000 
E02004323,59000 ,68500 ,107500 
E02004308,150500 ,171000 ,178000 
E02004309,132250 ,175000 ,215000 
E02004307,90000 ,127000 ,165000 
E02004324,40000 ,52500 ,87463 
E02004310,80875 ,126500 ,153713 
E02004311,86500 ,114975 ,158750 
E02004312,150500 ,160000 ,182500 
E02004313,99125 ,117000 ,127500 
E02004314,269306 ,290000 ,313750 
E02004316,56750 ,68000 ,111250 
E02004325,50000 ,63000 ,74963 
E02004315,162000 ,212000 ,266000 
E02004326,60750 ,88725 ,132750 
E02004328,58000 ,73500 ,89713 
E02004327,29188 ,61000 ,101750 
E02004329,70250 ,135000 ,159375 
E02004317,90588 ,130000 ,160000 
E02004330,69950 ,87000 ,122000 
E02004331,55000 ,82000 ,137000 
E02004318,57000 ,85000 ,155500 
E02004348,95250 ,142000 ,169500 
E02004332,43875 ,61500 ,160625 
E02004319,85000 ,110000 ,129500 
E02004349,63000 ,82500 ,121500 
E02004350,72500 ,110000 ,137000 
E02004333,97000 ,120500 ,153375 
E02004334,59500 ,72500 ,122500 
E02004335,51995 ,82000 ,95000 
E02004336,52250 ,76000 ,85000 
E02004351,51125 ,80500 ,125000 
E02004337,73500 ,85000 ,122374 
E02004338,51500 ,69000 ,103125 
E02004339,118750 ,166600 ,225000 
E02004352,45250 ,84000 ,127475 
E02004353,102499 ,140750 ,160000 
E02004354,86038 ,95000 ,126875 
E02004355,87975 ,115300 ,135500 
E02004340,56875 ,77500 ,91750 
E02004341,112625 ,129998 ,165000 
E02004342,46188 ,57250 ,75000 
E02004343,84250 ,99000 ,106000 
E02004344,89375 ,120500 ,152250 
E02004345,117000 ,143000 ,207000 
E02004346,177000 ,212500 ,290500 
E02004347,139998 ,165000 ,198725 
E02002559,155500 ,173000 ,202238 
E02002560,95000 ,122000 ,135000 
E02002561,128125 ,139500 ,166875 
E02002562,54125 ,75000 ,99125 
E02002563,92000 ,115000 ,131000 
E02002564,84250 ,95500 ,130250 
E02002565,110750 ,137750 ,154500 
E02002566,68500 ,72000 ,145000 
E02002567,87375 ,106250 ,124250 
E02002568,176500 ,203000 ,229500 
E02002569,181250 ,208500 ,225000 
E02002570,65000 ,85000 ,123000 
E02002571,84000 ,108500 ,130000 
E02002572,74500 ,100000 ,135650 
E02002573,137500 ,180000 ,244000 
E02002483,115000 ,128000 ,155000 
E02002484,55250 ,65151 ,78844 
E02002485,66000 ,75000 ,87000 
E02002487,39000 ,53500 ,63750 
E02002488,90500 ,130000 ,155000 
E02002489,38500 ,56000 ,83000 
E02002490,38975 ,71000 ,85000 
E02002491,79975 ,110500 ,134250 
E02002492,92000 ,115250 ,134113 
E02002493,97000 ,116000 ,147750 
E02002494,60000 ,95000 ,125000 
E02006909,123125 ,143500 ,174750 
E02002496,70000 ,78750 ,84500 
E02002497,39000 ,51500 ,63000 
E02002498,49750 ,56750 ,62063 
E02002499,55000 ,63500 ,69125 
E02002500,90750 ,95250 ,116250 
E02002501,63000 ,70000 ,78250 
E02002502,63000 ,70000 ,77500 
E02002503,66000 ,90000 ,119995 
E02002504,110000 ,126500 ,151000 
E02002505,57750 ,68750 ,75000 
E02002506,76500 ,81250 ,97000 
E02002507,125000 ,136500 ,142250 
E02002508,133250 ,140000 ,157750 
E02002509,75950 ,129100 ,160000 
E02002510,125000 ,133500 ,144950 
E02002512,157550 ,172500 ,213750 
