MSOA code,low,mid,high
E02004297,83875 ,99500 ,143188 
E02004290,110500 ,125000 ,156250 
E02004298,74500 ,99975 ,132000 
E02004299,52750 ,68625 ,88250 
E02004291,39999 ,74975 ,106250 
E02004300,52500 ,65000 ,82000 
E02004292,122000 ,158500 ,179875 
E02004301,52500 ,64000 ,91000 
E02004302,37400 ,48000 ,75000 
E02004303,60000 ,74750 ,95000 
E02004293,79000 ,92000 ,110750 
E02004304,51000 ,68000 ,94250 
E02004294,111250 ,147000 ,177500 
E02004305,61000 ,90000 ,123500 
E02004295,65000 ,109500 ,145000 
E02004320,78750 ,113500 ,140500 
E02004321,58000 ,86000 ,102750 
E02004322,61000 ,67000 ,96250 
E02004296,61000 ,78300 ,94000 
E02004306,89975 ,132000 ,172500 
E02004323,45000 ,56000 ,68625 
E02004308,140000 ,147000 ,176500 
E02004309,92000 ,105000 ,135000 
E02004307,68000 ,85000 ,102750 
E02004324,26000 ,33000 ,39000 
E02004310,68963 ,78975 ,99000 
E02004311,89125 ,105000 ,116500 
E02004312,113000 ,130000 ,156000 
E02004313,102500 ,120000 ,138500 
E02004314,151250 ,170750 ,187500 
E02004316,60500 ,73000 ,105000 
E02004325,49000 ,60000 ,75000 
E02004315,137500 ,173475 ,217500 
E02004326,48500 ,63000 ,68750 
E02004328,56000 ,65750 ,76625 
E02004327,22750 ,27000 ,39500 
E02004329,71125 ,97000 ,129963 
E02004317,71500 ,114000 ,133750 
E02004330,32500 ,50500 ,77500 
E02004331,32000 ,41125 ,71000 
E02004318,65125 ,86250 ,147250 
E02004348,100000 ,125000 ,158250 
E02004332,36000 ,50750 ,90375 
E02004319,56875 ,72500 ,89750 
E02004349,53956 ,70500 ,90250 
E02004350,54000 ,76000 ,92000 
E02004333,95000 ,107500 ,123375 
E02004334,48625 ,62250 ,75675 
E02004335,28000 ,45000 ,67000 
E02004336,40496 ,60000 ,77250 
E02004351,41000 ,54500 ,82500 
E02004337,40000 ,63000 ,98750 
E02004338,31500 ,54000 ,73000 
E02004339,115625 ,145500 ,183375 
E02004352,25000 ,40000 ,61000 
E02004353,50500 ,95000 ,131000 
E02004354,52500 ,75000 ,112500 
E02004355,65500 ,91000 ,110250 
E02004340,39996 ,48498 ,76500 
E02004341,94625 ,118250 ,162500 
E02004342,53000 ,59500 ,66500 
E02004343,74250 ,80500 ,94750 
E02004344,68000 ,87500 ,165000 
E02004345,61500 ,84000 ,121500 
E02004346,104988 ,135500 ,193500 
E02004347,132875 ,155250 ,211250 
