MSOA code,low,mid,high
E02002527,#N/A,#N/A,#N/A
E02002529,49375 ,55250 ,61125 
E02002530,#N/A,#N/A,#N/A
E02002532,45750 ,52000 ,54500 
E02002533,#N/A,#N/A,#N/A
E02002534,#N/A,#N/A,#N/A
E02006812,#N/A,#N/A,#N/A
E02006910,44000 ,44000 ,44000 
E02002535,65938 ,66875 ,67813 
E02002536,#N/A,#N/A,#N/A
E02002537,#N/A,#N/A,#N/A
E02002538,#N/A,#N/A,#N/A
E02002539,93750 ,105500 ,117250 
E02002540,76000 ,77000 ,103500 
E02002541,70000 ,95000 ,112000 
E02002542,84000 ,84000 ,84000 
E02002543,#N/A,#N/A,#N/A
E02002544,#N/A,#N/A,#N/A
E02002545,52500 ,52500 ,52500 
E02002546,85000 ,85000 ,85000 
E02002547,63250 ,66500 ,69750 
E02002548,41000 ,49000 ,57000 
E02002549,78500 ,85500 ,89500 
E02002550,#N/A,#N/A,#N/A
E02002551,47750 ,48000 ,49500 
E02002552,#N/A,#N/A,#N/A
E02002553,120000 ,120000 ,120000 
E02002554,45000 ,45000 ,45000 
E02002555,134000 ,134000 ,134000 
E02002556,#N/A,#N/A,#N/A
E02002557,#N/A,#N/A,#N/A
E02002558,77000 ,82500 ,86125 
E02001682,76500 ,76500 ,76500 
E02001683,54500 ,54500 ,54500 
E02001684,#N/A,#N/A,#N/A
E02001685,#N/A,#N/A,#N/A
E02001686,38301 ,40118 ,42813 
E02001688,90000 ,105000 ,106000 
E02001689,52625 ,54250 ,55875 
E02001690,58500 ,65000 ,70000 
E02001691,46500 ,51000 ,55500 
E02001692,42500 ,42500 ,42500 
E02001693,#N/A,#N/A,#N/A
E02001694,140000 ,150000 ,160000 
E02001695,48000 ,53000 ,54000 
E02001696,#N/A,#N/A,#N/A
E02001697,55000 ,55000 ,55000 
E02001698,109500 ,110000 ,112500 
E02001699,54000 ,56000 ,58000 
E02001700,99375 ,116250 ,133125 
E02001701,65000 ,65000 ,65000 
E02001702,50000 ,50000 ,50000 
E02001703,#N/A,#N/A,#N/A
E02001704,47375 ,50750 ,54125 
E02001705,50250 ,58500 ,66750 
E02001706,#N/A,#N/A,#N/A
E02001707,45525 ,52500 ,54250 
E02006841,69000 ,84000 ,123000 
E02006842,73375 ,77750 ,84500 
E02001708,#N/A,#N/A,#N/A
E02001709,119950 ,125000 ,128000 
E02001710,51750 ,60000 ,60000 
E02001711,50750 ,56500 ,62250 
E02001712,88375 ,95000 ,172000 
E02001713,56500 ,170000 ,195000 
E02001714,115000 ,115000 ,115000 
E02001715,43750 ,47500 ,51250 
E02001718,#N/A,#N/A,#N/A
E02001719,91250 ,97500 ,118125 
E02001720,75000 ,85000 ,100625 
E02001721,38000 ,41000 ,42000 
E02001722,79500 ,85000 ,100000 
E02001723,#N/A,#N/A,#N/A
E02001724,107938 ,117500 ,144875 
E02001725,139000 ,139000 ,139000 
E02001726,76500 ,80000 ,83000 
E02001727,#N/A,#N/A,#N/A
E02001728,57000 ,61000 ,65000 
E02001729,59975 ,80000 ,97500 
E02001730,79000 ,105500 ,125000 
E02001731,89500 ,116100 ,123875 
E02001732,#N/A,#N/A,#N/A
E02001733,49750 ,79000 ,108250 
E02001734,#N/A,#N/A,#N/A
E02001735,#N/A,#N/A,#N/A
E02001736,51500 ,58000 ,58000 
E02001737,#N/A,#N/A,#N/A
E02006893,175000 ,175000 ,175000 
E02001738,86000 ,87500 ,90500 
E02001739,62000 ,62000 ,62000 
E02001740,117375 ,119250 ,121125 
E02001741,#N/A,#N/A,#N/A
E02001742,120000 ,120000 ,120000 
E02001743,93738 ,96000 ,104325 
E02001744,55250 ,55500 ,55750 
E02001745,53250 ,60000 ,76500 
E02001746,70463 ,80000 ,102250 
E02001747,91125 ,107250 ,121875 
E02001748,#N/A,#N/A,#N/A
E02001749,45750 ,45750 ,45750 
E02001750,62500 ,70000 ,77500 
E02001751,265000 ,265000 ,265000 
E02001752,#N/A,#N/A,#N/A
E02001753,124625 ,158500 ,193750 
E02001754,75750 ,88000 ,97875 
E02001755,51500 ,70000 ,81975 
E02001756,#N/A,#N/A,#N/A
E02001757,50000 ,62000 ,70206 
E02001758,75000 ,75000 ,75000 
E02001759,75250 ,89250 ,97375 
E02001760,62625 ,68000 ,68500 
E02001761,59188 ,66375 ,73563 
E02001762,68000 ,72500 ,76250 
E02001763,#N/A,#N/A,#N/A
E02001764,61010 ,77000 ,82000 
E02001765,#N/A,#N/A,#N/A
E02001766,47000 ,48000 ,49000 
E02001767,39125 ,52750 ,65250 
E02001768,34250 ,34500 ,34750 
E02001769,38750 ,40000 ,43250 
E02001770,94000 ,94000 ,94000 
E02001771,75000 ,75000 ,75000 
E02001772,#N/A,#N/A,#N/A
E02001773,#N/A,#N/A,#N/A
E02001774,#N/A,#N/A,#N/A
E02001775,#N/A,#N/A,#N/A
E02001776,#N/A,#N/A,#N/A
E02001777,#N/A,#N/A,#N/A
E02001778,#N/A,#N/A,#N/A
